dex,factory_address,tokenA,tokenAname,tokenB,tokenBname,pool_address
uniswap_v3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0xC02aaa39b223FE8D0A0E5C4F27eAD9083C756Cc2,WETH,0x11b815efB8f581194ae79006d24E0d814B7697F6
uniswap_v3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,0x56534741CD8B152df6d48AdF7ac51f75169A83b2
uniswap_v3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0xC02aaa39b223FE8D0A0E5C4F27eAD9083C756Cc2,WETH,0x4e68Ccd3E89f51C3074ca5072bbAC773960dFa36
uniswap_v3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,0x9Db9e0e53058C89e5B94e29621a205198648425B
uniswap_v3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0xC02aaa39b223FE8D0A0E5C4F27eAD9083C756Cc2,WETH,0xC5aF84701f98Fa483eCe78aF83F11b6C38ACA71D
uniswap_v3,0x1F98431c8aD98523631AE4a59f267346ea31F984,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,0x5a59E4e647A3Acc42b01715F3A1D271c1f7e7aeb
uniswap_v2,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0xC02aaa39b223FE8D0A0E5C4F27eAD9083C756Cc2,WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852
uniswap_v2,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,0x0DE0Fa91b6DbaB8c8503aAA2D1DFa91a192cB149
PancakeSwap_v2,0x1097053Fd2ea711dad45caCcc45EfF7548fCB362,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0xC02aaa39b223FE8D0A0E5C4F27eAD9083C756Cc2,WETH,0x17C1Ae82D99379240059940093762c5e4539aba5
